genus,family,order
Phymatopteris,Polypodiaceae,Polypodiales
Pichisermollia,Polypodiaceae,Polypodiales
Platygyria,Polypodiaceae,Polypodiales
Polypodiastrum,Polypodiaceae,Polypodiales
Polypodiopsis,Polypodiaceae,Polypodiales
Pyrrhosia,Polypodiaceae,Polypodiales
Schellolepis,Polypodiaceae,Polypodiales
Solanopteris,Polypodiaceae,Polypodiales
Tomophyllum,Polypodiaceae,Polypodiales
Weatherbya,Polypodiaceae,Polypodiales
XPleopodium,Polypodiaceae,Polypodiales
Afropteris,Pteridaceae,Polypodiales
Calciphilopteris,Pteridaceae,Polypodiales
Chrysodium,Pteridaceae,Polypodiales
Copelandiopteris,Pteridaceae,Polypodiales
Gymnogramme,Pteridaceae,Polypodiales
Idiopteris,Pteridaceae,Polypodiales
Litobrochia,Pteridaceae,Polypodiales
Neurogramme,Pteridaceae,Polypodiales
Nothochlaena,Pteridaceae,Polypodiales
Pleurogramme,Pteridaceae,Polypodiales
Pteropsis,Pteridaceae,Polypodiales
Schizostege,Pteridaceae,Polypodiales
Anemidictyon,Schizaeaceae,Schizaeales
Colina,Schizaeaceae,Schizaeales
Hemianemia,Schizaeaceae,Schizaeales
Lophidium,Schizaeaceae,Schizaeales
Spathepteris,Schizaeaceae,Schizaeales
Bryodesma,Selaginellaceae,Selaginellales
Didiclis,Selaginellaceae,Selaginellales
Diplostachyum,Selaginellaceae,Selaginellales
Heterophyllium,Selaginellaceae,Selaginellales
Abacopteris,Thelypteridaceae,Polypodiales
Amauropelta,Thelypteridaceae,Polypodiales
Coryphopteris,Thelypteridaceae,Polypodiales
Dictyocline,Thelypteridaceae,Polypodiales
Glaphyropteridopsis,Thelypteridaceae,Polypodiales
Goniopteris,Thelypteridaceae,Polypodiales
Lastrea,Thelypteridaceae,Polypodiales
Leptogramma,Thelypteridaceae,Polypodiales
Mesoneuron,Thelypteridaceae,Polypodiales
Mesophlebion,Thelypteridaceae,Polypodiales
Mesopteris,Thelypteridaceae,Polypodiales
Metathelypteris,Thelypteridaceae,Polypodiales
Nannothelypteris,Thelypteridaceae,Polypodiales
Parathelypteris,Thelypteridaceae,Polypodiales
Plesioneuron,Thelypteridaceae,Polypodiales
Pseudocyclosorus,Thelypteridaceae,Polypodiales
Stegnogramma,Thelypteridaceae,Polypodiales
Steiropteris,Thelypteridaceae,Polypodiales
Toppingia,Thelypteridaceae,Polypodiales
Trigonospora,Thelypteridaceae,Polypodiales
Wagneriopteris,Thelypteridaceae,Polypodiales
Oetosis,Vittariaceae,Polypodiales
Pleurofossa,Vittariaceae,Polypodiales
Taeniopsis,Vittariaceae,Polypodiales
Vaginopteris,Vittariaceae,Polypodiales
Vaginularia,Vittariaceae,Polypodiales
Allantodia,Woodsiaceae,Polypodiales
Anisogonium,Woodsiaceae,Polypodiales
Athyriopsis,Woodsiaceae,Polypodiales
Callipteris,Woodsiaceae,Polypodiales
Cystoathyrium,Woodsiaceae,Polypodiales
Dictyodroma,Woodsiaceae,Polypodiales
Dryoathyrium,Woodsiaceae,Polypodiales
Filicula,Woodsiaceae,Polypodiales
Kuniwatsukia,Woodsiaceae,Polypodiales
Microchlaena,Woodsiaceae,Polypodiales
Monomelangium,Woodsiaceae,Polypodiales
Pseudathyrium,Woodsiaceae,Polypodiales
Trichocyclus,Woodsiaceae,Polypodiales
Benthamia,Orchidaceae,Asparagales
Lepidostemon,Brassicaceae,Brassicales
Monniera,Scrophulariaceae,Lamiales
Diellia,Aspleniaceae,Polypodiales
Erythroseris,Asteraceae,Asterales
Rhyticaryum,Icacinaceae,
,Apleniaceae,Polypodiales
,Athyriaceae,Polypodiales
,Centroplacaceae,Malpighiales
,Cystopteridaceae,Polypodiales
,Diplaziopsidaceae,Polypodiales
,Iso‘taceae,Isoetales
,Lophiocarpaceae,Caryophyllales
,Loxsomataceae,Cyatheales
,Peraceae,Malpighiales
,Petenaeaceae,Huerteales
,Rhachidosoraceae,Polypodiales
