number.of.species,genus,family,apweb.family,order,group
1,Damnamenia,Compositae,Asteraceae,Asterales,Angiosperms
1,Damnxanthodium,Compositae,Asteraceae,Asterales,Angiosperms
3,Darwiniothamnus,Compositae,Asteraceae,Asterales,Angiosperms
1,Dasyandantha,Compositae,Asteraceae,Asterales,Angiosperms
2,Dasyanthina,Compositae,Asteraceae,Asterales,Angiosperms
8,Dasycondylus,Compositae,Asteraceae,Asterales,Angiosperms
38,Dasyphyllum,Compositae,Asteraceae,Asterales,Angiosperms
1,Dauresia,Compositae,Asteraceae,Asterales,Angiosperms
1,Daveaua,Compositae,Asteraceae,Asterales,Angiosperms
8,Decachaeta,Compositae,Asteraceae,Asterales,Angiosperms
12,Decaneuropsis,Compositae,Asteraceae,Asterales,Angiosperms
1,Decaneurum,Compositae,Asteraceae,Asterales,Angiosperms
1,Decastylocarpus,Compositae,Asteraceae,Asterales,Angiosperms
1,Decazesia,Compositae,Asteraceae,Asterales,Angiosperms
18,Deinandra,Compositae,Asteraceae,Asterales,Angiosperms
1,Delairea,Compositae,Asteraceae,Asterales,Angiosperms
1,Delamerea,Compositae,Asteraceae,Asterales,Angiosperms
3,Delilia,Compositae,Asteraceae,Asterales,Angiosperms
1,Delwiensia,Compositae,Asteraceae,Asterales,Angiosperms
34,Dendranthema,Compositae,Asteraceae,Asterales,Angiosperms
2,Dendrocacalia,Compositae,Asteraceae,Asterales,Angiosperms
72,Dendrophorbium,Compositae,Asteraceae,Asterales,Angiosperms
11,Dendrosenecio,Compositae,Asteraceae,Asterales,Angiosperms
12,Dendroseris,Compositae,Asteraceae,Asterales,Angiosperms
2,Dendroviguiera,Compositae,Asteraceae,Asterales,Angiosperms
8,Desmanthodium,Compositae,Asteraceae,Asterales,Angiosperms
7,Dewildemania,Compositae,Asteraceae,Asterales,Angiosperms
3,Diacranthera,Compositae,Asteraceae,Asterales,Angiosperms
3,Diaperia,Compositae,Asteraceae,Asterales,Angiosperms
1,Diaphractanthus,Compositae,Asteraceae,Asterales,Angiosperms
1,Diaspananthus,Compositae,Asteraceae,Asterales,Angiosperms
1,Dicercoclados,Compositae,Asteraceae,Asterales,Angiosperms
2,Dicerothamnus,Compositae,Asteraceae,Asterales,Angiosperms
1,Dichaetophora,Compositae,Asteraceae,Asterales,Angiosperms
6,Dichrocephala,Compositae,Asteraceae,Asterales,Angiosperms
1,Dichromochlamys,Compositae,Asteraceae,Asterales,Angiosperms
37,Dicoma,Compositae,Asteraceae,Asterales,Angiosperms
3,Dicoria,Compositae,Asteraceae,Asterales,Angiosperms
1,Dicranocarpus,Compositae,Asteraceae,Asterales,Angiosperms
1,Dicrocephala,Compositae,Asteraceae,Asterales,Angiosperms
2,Didelta,Compositae,Asteraceae,Asterales,Angiosperms
1,Dielitzia,Compositae,Asteraceae,Asterales,Angiosperms
2,Dieteria,Compositae,Asteraceae,Asterales,Angiosperms
5,Digitacalia,Compositae,Asteraceae,Asterales,Angiosperms
2,Dillandia,Compositae,Asteraceae,Asterales,Angiosperms
1,Dimeresia,Compositae,Asteraceae,Asterales,Angiosperms
21,Dimerostemma,Compositae,Asteraceae,Asterales,Angiosperms
1,Dimorphocoma,Compositae,Asteraceae,Asterales,Angiosperms
19,Dimorphotheca,Compositae,Asteraceae,Asterales,Angiosperms
1,Dinoseris,Compositae,Asteraceae,Asterales,Angiosperms
1,Diodontium,Compositae,Asteraceae,Asterales,Angiosperms
1,Diplactis,Compositae,Asteraceae,Asterales,Angiosperms
2,Diplazoptilon,Compositae,Asteraceae,Asterales,Angiosperms
111,Diplostephium,Compositae,Asteraceae,Asterales,Angiosperms
1,Dipterocome,Compositae,Asteraceae,Asterales,Angiosperms
1,Dipterocypsela,Compositae,Asteraceae,Asterales,Angiosperms
4,Disparago,Compositae,Asteraceae,Asterales,Angiosperms
1,Dissothrix,Compositae,Asteraceae,Asterales,Angiosperms
1,Distegia,Compositae,Asteraceae,Asterales,Angiosperms
32,Distephanus,Compositae,Asteraceae,Asterales,Angiosperms
16,Disynaphia,Compositae,Asteraceae,Asterales,Angiosperms
2,Dithyrostegia,Compositae,Asteraceae,Asterales,Angiosperms
2,Dittrichia,Compositae,Asteraceae,Asterales,Angiosperms
1,Doellia,Compositae,Asteraceae,Asterales,Angiosperms
11,Doellingeria,Compositae,Asteraceae,Asterales,Angiosperms
1,Dolichlasium,Compositae,Asteraceae,Asterales,Angiosperms
2,Dolichoglottis,Compositae,Asteraceae,Asterales,Angiosperms
4,Dolichorrhiza,Compositae,Asteraceae,Asterales,Angiosperms
1,Dolichothrix,Compositae,Asteraceae,Asterales,Angiosperms
15,Dolomiaea,Compositae,Asteraceae,Asterales,Angiosperms
2,Doniophyton,Compositae,Asteraceae,Asterales,Angiosperms
3,Dorobaea,Compositae,Asteraceae,Asterales,Angiosperms
37,Doronicum,Compositae,Asteraceae,Asterales,Angiosperms
3,Dresslerothamnus,Compositae,Asteraceae,Asterales,Angiosperms
31,Dubautia,Compositae,Asteraceae,Asterales,Angiosperms
18,Dubyaea,Compositae,Asteraceae,Asterales,Angiosperms
2,Dugaldia,Compositae,Asteraceae,Asterales,Angiosperms
1,Dugesia,Compositae,Asteraceae,Asterales,Angiosperms
10,Duhaldea,Compositae,Asteraceae,Asterales,Angiosperms
4,Duidaea,Compositae,Asteraceae,Asterales,Angiosperms
1,Duseniella,Compositae,Asteraceae,Asterales,Angiosperms
1,Dymondia,Compositae,Asteraceae,Asterales,Angiosperms
2,Dyscritogyne,Compositae,Asteraceae,Asterales,Angiosperms
2,Dyscritothamnus,Compositae,Asteraceae,Asterales,Angiosperms
1,Dysodiopsis,Compositae,Asteraceae,Asterales,Angiosperms
8,Dyssodia,Compositae,Asteraceae,Asterales,Angiosperms
1,Eastwoodia,Compositae,Asteraceae,Asterales,Angiosperms
1,Eatonella,Compositae,Asteraceae,Asterales,Angiosperms
10,Echinacea,Compositae,Asteraceae,Asterales,Angiosperms
7,Echinocoryne,Compositae,Asteraceae,Asterales,Angiosperms
192,Echinops,Compositae,Asteraceae,Asterales,Angiosperms
11,Eclipta,Compositae,Asteraceae,Asterales,Angiosperms
3,Edmondia,Compositae,Asteraceae,Asterales,Angiosperms
1,Edwartiothamnus,Compositae,Asteraceae,Asterales,Angiosperms
11,Egletes,Compositae,Asteraceae,Asterales,Angiosperms
3,Eirmocephala,Compositae,Asteraceae,Asterales,Angiosperms
2,Eitenia,Compositae,Asteraceae,Asterales,Angiosperms
1,Ekmania,Compositae,Asteraceae,Asterales,Angiosperms
1,Ekmaniopappus,Compositae,Asteraceae,Asterales,Angiosperms
1,Elachanthemum,Compositae,Asteraceae,Asterales,Angiosperms
2,Elachanthus,Compositae,Asteraceae,Asterales,Angiosperms
14,Elaphandra,Compositae,Asteraceae,Asterales,Angiosperms
9,Elekmania,Compositae,Asteraceae,Asterales,Angiosperms
29,Elephantopus,Compositae,Asteraceae,Asterales,Angiosperms
3,Eleutheranthera,Compositae,Asteraceae,Asterales,Angiosperms
1,Ellenbergia,Compositae,Asteraceae,Asterales,Angiosperms
2,Elytropappus,Compositae,Asteraceae,Asterales,Angiosperms
115,Emilia,Compositae,Asteraceae,Asterales,Angiosperms
6,Emiliella,Compositae,Asteraceae,Asterales,Angiosperms
20,Encelia,Compositae,Asteraceae,Asterales,Angiosperms
3,Enceliopsis,Compositae,Asteraceae,Asterales,Angiosperms
1,Endocellion,Compositae,Asteraceae,Asterales,Angiosperms
1,Endopappus,Compositae,Asteraceae,Asterales,Angiosperms
2,Engelmannia,Compositae,Asteraceae,Asterales,Angiosperms
2,Engleria,Compositae,Asteraceae,Asterales,Angiosperms
6,Enydra,Compositae,Asteraceae,Asterales,Angiosperms
3,Epallage,Compositae,Asteraceae,Asterales,Angiosperms
9,Epaltes,Compositae,Asteraceae,Asterales,Angiosperms
3,Epilasia,Compositae,Asteraceae,Asterales,Angiosperms
1,Epitriche,Compositae,Asteraceae,Asterales,Angiosperms
5,Erato,Compositae,Asteraceae,Asterales,Angiosperms
15,Erechtites,Compositae,Asteraceae,Asterales,Angiosperms
29,Eremanthus,Compositae,Asteraceae,Asterales,Angiosperms
9,Eremosis,Compositae,Asteraceae,Asterales,Angiosperms
1,Eremothamnus,Compositae,Asteraceae,Asterales,Angiosperms
1,Eriachaenium,Compositae,Asteraceae,Asterales,Angiosperms
36,Ericameria,Compositae,Asteraceae,Asterales,Angiosperms
6,Ericentrodea,Compositae,Asteraceae,Asterales,Angiosperms
475,Erigeron,Compositae,Asteraceae,Asterales,Angiosperms
36,Eriocephalus,Compositae,Asteraceae,Asterales,Angiosperms
4,Eriochlamys,Compositae,Asteraceae,Asterales,Angiosperms
13,Eriophyllum,Compositae,Asteraceae,Asterales,Angiosperms
2,Eriotrix,Compositae,Asteraceae,Asterales,Angiosperms
16,Erlangea,Compositae,Asteraceae,Asterales,Angiosperms
2,Erodiophyllum,Compositae,Asteraceae,Asterales,Angiosperms
5,Erymophyllum,Compositae,Asteraceae,Asterales,Angiosperms
2,Eryngiophyllum,Compositae,Asteraceae,Asterales,Angiosperms
1,Erythradenia,Compositae,Asteraceae,Asterales,Angiosperms
15,Erythrocephalum,Compositae,Asteraceae,Asterales,Angiosperms
2,Erythroseris,Compositae,Asteraceae,Asterales,Angiosperms
1,Eschenbachia,Compositae,Asteraceae,Asterales,Angiosperms
1,Espejoa,Compositae,Asteraceae,Asterales,Angiosperms
70,Espeletia,Compositae,Asteraceae,Asterales,Angiosperms
24,Espeletiopsis,Compositae,Asteraceae,Asterales,Angiosperms
18,Ethulia,Compositae,Asteraceae,Asterales,Angiosperms
10,Eucephalus,Compositae,Asteraceae,Asterales,Angiosperms
17,Euchiton,Compositae,Asteraceae,Asterales,Angiosperms
6,Eumorphia,Compositae,Asteraceae,Asterales,Angiosperms
6,Eupatoriastrum,Compositae,Asteraceae,Asterales,Angiosperms
1,Eupatorina,Compositae,Asteraceae,Asterales,Angiosperms
1,Eupatoriopsis,Compositae,Asteraceae,Asterales,Angiosperms
122,Eupatorium,Compositae,Asteraceae,Asterales,Angiosperms
1,Euphrosyne,Compositae,Asteraceae,Asterales,Angiosperms
22,Eurybia,Compositae,Asteraceae,Asterales,Angiosperms
1,Eurydochus,Compositae,Asteraceae,Asterales,Angiosperms
97,Euryops,Compositae,Asteraceae,Asterales,Angiosperms
2,Eutetras,Compositae,Asteraceae,Asterales,Angiosperms
4,Euthamia,Compositae,Asteraceae,Asterales,Angiosperms
5,Eutrochium,Compositae,Asteraceae,Asterales,Angiosperms
1,Evacidium,Compositae,Asteraceae,Asterales,Angiosperms
1,Evax,Compositae,Asteraceae,Asterales,Angiosperms
5,Ewartia,Compositae,Asteraceae,Asterales,Angiosperms
1,Exomiocarpon,Compositae,Asteraceae,Asterales,Angiosperms
7,Faberia,Compositae,Asteraceae,Asterales,Angiosperms
2,Facelis,Compositae,Asteraceae,Asterales,Angiosperms
2,Farfugium,Compositae,Asteraceae,Asterales,Angiosperms
4,Faujasia,Compositae,Asteraceae,Asterales,Angiosperms
3,Faujasiopsis,Compositae,Asteraceae,Asterales,Angiosperms
1,Faxonia,Compositae,Asteraceae,Asterales,Angiosperms
1,Feddea,Compositae,Asteraceae,Asterales,Angiosperms
1,Feldstonia,Compositae,Asteraceae,Asterales,Angiosperms
84,Felicia,Compositae,Asteraceae,Asterales,Angiosperms
1,Fenixia,Compositae,Asteraceae,Asterales,Angiosperms
8,Ferreyranthus,Compositae,Asteraceae,Asterales,Angiosperms
2,Ferreyrella,Compositae,Asteraceae,Asterales,Angiosperms
56,Filago,Compositae,Asteraceae,Asterales,Angiosperms
1,Filifolium,Compositae,Asteraceae,Asterales,Angiosperms
1,Fingalia,Compositae,Asteraceae,Asterales,Angiosperms
7,Fitchia,Compositae,Asteraceae,Asterales,Angiosperms
1,Fitzwillia,Compositae,Asteraceae,Asterales,Angiosperms
24,Flaveria,Compositae,Asteraceae,Asterales,Angiosperms
100,Fleischmannia,Compositae,Asteraceae,Asterales,Angiosperms
5,Fleischmanniopsis,Compositae,Asteraceae,Asterales,Angiosperms
8,Florestina,Compositae,Asteraceae,Asterales,Angiosperms
2,Floscaldasia,Compositae,Asteraceae,Asterales,Angiosperms
1,Flosmutisia,Compositae,Asteraceae,Asterales,Angiosperms
33,Flourensia,Compositae,Asteraceae,Asterales,Angiosperms
6,Flyriella,Compositae,Asteraceae,Asterales,Angiosperms
1,Formania,Compositae,Asteraceae,Asterales,Angiosperms
4,Foveolina,Compositae,Asteraceae,Asterales,Angiosperms
2,Franseria,Compositae,Asteraceae,Asterales,Angiosperms
1,Freya,Compositae,Asteraceae,Asterales,Angiosperms
1,Frolovia,Compositae,Asteraceae,Asterales,Angiosperms
1,Fulcaldea,Compositae,Asteraceae,Asterales,Angiosperms
23,Gaillardia,Compositae,Asteraceae,Asterales,Angiosperms
4,Galactites,Compositae,Asteraceae,Asterales,Angiosperms
31,Galatella,Compositae,Asteraceae,Asterales,Angiosperms
2,Galeana,Compositae,Asteraceae,Asterales,Angiosperms
2,Galeomma,Compositae,Asteraceae,Asterales,Angiosperms
15,Galinsoga,Compositae,Asteraceae,Asterales,Angiosperms
48,Gamochaeta,Compositae,Asteraceae,Asterales,Angiosperms
1,Gamochaetopsis,Compositae,Asteraceae,Asterales,Angiosperms
1,Garberia,Compositae,Asteraceae,Asterales,Angiosperms
2,Garcibarrigoa,Compositae,Asteraceae,Asterales,Angiosperms
1,Garcilassa,Compositae,Asteraceae,Asterales,Angiosperms
1,Gardnerina,Compositae,Asteraceae,Asterales,Angiosperms
4,Garhadiolus,Compositae,Asteraceae,Asterales,Angiosperms
8,Garuleum,Compositae,Asteraceae,Asterales,Angiosperms
1,Gatyona,Compositae,Asteraceae,Asterales,Angiosperms
19,Gazania,Compositae,Asteraceae,Asterales,Angiosperms
30,Geigeria,Compositae,Asteraceae,Asterales,Angiosperms
1,Geissolepis,Compositae,Asteraceae,Asterales,Angiosperms
2,Gelasia,Compositae,Asteraceae,Asterales,Angiosperms
2,Geraea,Compositae,Asteraceae,Asterales,Angiosperms
40,Gerbera,Compositae,Asteraceae,Asterales,Angiosperms
1,Geropogon,Compositae,Asteraceae,Asterales,Angiosperms
1,Gibbaria,Compositae,Asteraceae,Asterales,Angiosperms
1,Gilberta,Compositae,Asteraceae,Asterales,Angiosperms
1,Gilruthia,Compositae,Asteraceae,Asterales,Angiosperms
1,Gladiopappus,Compositae,Asteraceae,Asterales,Angiosperms
2,Glebionis,Compositae,Asteraceae,Asterales,Angiosperms
2,Glossarion,Compositae,Asteraceae,Asterales,Angiosperms
12,Glossocardia,Compositae,Asteraceae,Asterales,Angiosperms
2,Glossogyne,Compositae,Asteraceae,Asterales,Angiosperms
1,Glossopappus,Compositae,Asteraceae,Asterales,Angiosperms
2,Glyptopleura,Compositae,Asteraceae,Asterales,Angiosperms
122,Gnaphalium,Compositae,Asteraceae,Asterales,Angiosperms
17,Gnephosis,Compositae,Asteraceae,Asterales,Angiosperms
1,Gnomophalium,Compositae,Asteraceae,Asterales,Angiosperms
69,Gochnatia,Compositae,Asteraceae,Asterales,Angiosperms
1,Goldmanella,Compositae,Asteraceae,Asterales,Angiosperms
2,Gongrostylus,Compositae,Asteraceae,Asterales,Angiosperms
1,Gongrothamnus,Compositae,Asteraceae,Asterales,Angiosperms
15,Gongylolepis,Compositae,Asteraceae,Asterales,Angiosperms
1,Goniocaulon,Compositae,Asteraceae,Asterales,Angiosperms
5,Gonospermum,Compositae,Asteraceae,Asterales,Angiosperms
1,Gorceixia,Compositae,Asteraceae,Asterales,Angiosperms
3,Gorteria,Compositae,Asteraceae,Asterales,Angiosperms
2,Gossweilera,Compositae,Asteraceae,Asterales,Angiosperms
1,Goyazianthus,Compositae,Asteraceae,Asterales,Angiosperms
8,Grangea,Compositae,Asteraceae,Asterales,Angiosperms
1,Grangeopsis,Compositae,Asteraceae,Asterales,Angiosperms
2,Grantia,Compositae,Asteraceae,Asterales,Angiosperms
9,Graphistylis,Compositae,Asteraceae,Asterales,Angiosperms
1,Gratwickia,Compositae,Asteraceae,Asterales,Angiosperms
2,Grauanthus,Compositae,Asteraceae,Asterales,Angiosperms
10,Grazielia,Compositae,Asteraceae,Asterales,Angiosperms
1,Greenmaniella,Compositae,Asteraceae,Asterales,Angiosperms
65,Grindelia,Compositae,Asteraceae,Asterales,Angiosperms
8,Grisebachianthus,Compositae,Asteraceae,Asterales,Angiosperms
7,Grosvenoria,Compositae,Asteraceae,Asterales,Angiosperms
14,Guardiola,Compositae,Asteraceae,Asterales,Angiosperms
6,Guayania,Compositae,Asteraceae,Asterales,Angiosperms
5,Guevaria,Compositae,Asteraceae,Asterales,Angiosperms
7,Guizotia,Compositae,Asteraceae,Asterales,Angiosperms
2,Gundelia,Compositae,Asteraceae,Asterales,Angiosperms
9,Gundlachia,Compositae,Asteraceae,Asterales,Angiosperms
27,Gutenbergia,Compositae,Asteraceae,Asterales,Angiosperms
33,Gutierrezia,Compositae,Asteraceae,Asterales,Angiosperms
1,Guynesomia,Compositae,Asteraceae,Asterales,Angiosperms
38,Gymnanthemum,Compositae,Asteraceae,Asterales,Angiosperms
1,Gymnarrhena,Compositae,Asteraceae,Asterales,Angiosperms
2,Gymnaster,Compositae,Asteraceae,Asterales,Angiosperms
1,Gymnocondylus,Compositae,Asteraceae,Asterales,Angiosperms
5,Gymnocoronis,Compositae,Asteraceae,Asterales,Angiosperms
3,Gymnodiscus,Compositae,Asteraceae,Asterales,Angiosperms
3,Gymnolaena,Compositae,Asteraceae,Asterales,Angiosperms
4,Gymnolomia,Compositae,Asteraceae,Asterales,Angiosperms
1,Gymnopentzia,Compositae,Asteraceae,Asterales,Angiosperms
1,Gymnopsis,Compositae,Asteraceae,Asterales,Angiosperms
8,Gymnostephium,Compositae,Asteraceae,Asterales,Angiosperms
128,Gynoxys,Compositae,Asteraceae,Asterales,Angiosperms
46,Gynura,Compositae,Asteraceae,Asterales,Angiosperms
1,Gypothamnium,Compositae,Asteraceae,Asterales,Angiosperms
2,Gyptidium,Compositae,Asteraceae,Asterales,Angiosperms
7,Gyptis,Compositae,Asteraceae,Asterales,Angiosperms
1,Gyrodoma,Compositae,Asteraceae,Asterales,Angiosperms
4,Haastia,Compositae,Asteraceae,Asterales,Angiosperms
3,Haeckeria,Compositae,Asteraceae,Asterales,Angiosperms
1,Haegiela,Compositae,Asteraceae,Asterales,Angiosperms
1,Hainanecio,Compositae,Asteraceae,Asterales,Angiosperms
1,Handelia,Compositae,Asteraceae,Asterales,Angiosperms
12,Haplocarpha,Compositae,Asteraceae,Asterales,Angiosperms
1,Haplodiscus,Compositae,Asteraceae,Asterales,Angiosperms
3,Haploesthes,Compositae,Asteraceae,Asterales,Angiosperms
71,Haplopappus,Compositae,Asteraceae,Asterales,Angiosperms
2,Haptotrichion,Compositae,Asteraceae,Asterales,Angiosperms
1,Harleya,Compositae,Asteraceae,Asterales,Angiosperms
5,Harmonia,Compositae,Asteraceae,Asterales,Angiosperms
1,Harnackia,Compositae,Asteraceae,Asterales,Angiosperms
1,Hartwrightia,Compositae,Asteraceae,Asterales,Angiosperms
3,Hasteola,Compositae,Asteraceae,Asterales,Angiosperms
2,Hatschbachiella,Compositae,Asteraceae,Asterales,Angiosperms
11,Hazardia,Compositae,Asteraceae,Asterales,Angiosperms
26,Hebeclinium,Compositae,Asteraceae,Asterales,Angiosperms
1,Hecastocleis,Compositae,Asteraceae,Asterales,Angiosperms
1,Hedosyne,Compositae,Asteraceae,Asterales,Angiosperms
4,Hedypnois,Compositae,Asteraceae,Asterales,Angiosperms
39,Helenium,Compositae,Asteraceae,Asterales,Angiosperms
3,Heliantheae,Compositae,Asteraceae,Asterales,Angiosperms
10,Helianthella,Compositae,Asteraceae,Asterales,Angiosperms
66,Helianthus,Compositae,Asteraceae,Asterales,Angiosperms
1,Helichrysopsis,Compositae,Asteraceae,Asterales,Angiosperms
505,Helichrysum,Compositae,Asteraceae,Asterales,Angiosperms
1,Heliocauta,Compositae,Asteraceae,Asterales,Angiosperms
8,Heliomeris,Compositae,Asteraceae,Asterales,Angiosperms
15,Heliopsis,Compositae,Asteraceae,Asterales,Angiosperms
33,Helipterum,Compositae,Asteraceae,Asterales,Angiosperms
5,Helminthotheca,Compositae,Asteraceae,Asterales,Angiosperms
8,Helogyne,Compositae,Asteraceae,Asterales,Angiosperms
1,Hemistepta,Compositae,Asteraceae,Asterales,Angiosperms
1,Hemisteptia,Compositae,Asteraceae,Asterales,Angiosperms
1,Hemizonella,Compositae,Asteraceae,Asterales,Angiosperms
12,Hemizonia,Compositae,Asteraceae,Asterales,Angiosperms
1,Henricksonia,Compositae,Asteraceae,Asterales,Angiosperms
7,Heptanthus,Compositae,Asteraceae,Asterales,Angiosperms
1,Herderia,Compositae,Asteraceae,Asterales,Angiosperms
1,Herodotia,Compositae,Asteraceae,Asterales,Angiosperms
1,Herreranthus,Compositae,Asteraceae,Asterales,Angiosperms
4,Herrickia,Compositae,Asteraceae,Asterales,Angiosperms
9,Hertia,Compositae,Asteraceae,Asterales,Angiosperms
3,Hesperevax,Compositae,Asteraceae,Asterales,Angiosperms
3,Hesperomannia,Compositae,Asteraceae,Asterales,Angiosperms
1,Heteracia,Compositae,Asteraceae,Asterales,Angiosperms
1,Heteranthemis,Compositae,Asteraceae,Asterales,Angiosperms
1,Heterocoma,Compositae,Asteraceae,Asterales,Angiosperms
13,Heterocondylus,Compositae,Asteraceae,Asterales,Angiosperms
1,Heterocypsela,Compositae,Asteraceae,Asterales,Angiosperms
1,Heteroderis,Compositae,Asteraceae,Asterales,Angiosperms
3,Heterolepis,Compositae,Asteraceae,Asterales,Angiosperms
2,Heteromera,Compositae,Asteraceae,Asterales,Angiosperms
3,Heteromma,Compositae,Asteraceae,Asterales,Angiosperms
13,Heteropappus,Compositae,Asteraceae,Asterales,Angiosperms
2,Heteroplexis,Compositae,Asteraceae,Asterales,Angiosperms
1,Heterorhachis,Compositae,Asteraceae,Asterales,Angiosperms
6,Heterosperma,Compositae,Asteraceae,Asterales,Angiosperms
2,Heterothalamus,Compositae,Asteraceae,Asterales,Angiosperms
25,Heterotheca,Compositae,Asteraceae,Asterales,Angiosperms
3,Hidalgoa,Compositae,Asteraceae,Asterales,Angiosperms
2207,Hieracium,Compositae,Asteraceae,Asterales,Angiosperms
1,Hilliardia,Compositae,Asteraceae,Asterales,Angiosperms
8,Hilliardiella,Compositae,Asteraceae,Asterales,Angiosperms
13,Himalaiella,Compositae,Asteraceae,Asterales,Angiosperms
8,Hinterhubera,Compositae,Asteraceae,Asterales,Angiosperms
8,Hippia,Compositae,Asteraceae,Asterales,Angiosperms
17,Hippolytia,Compositae,Asteraceae,Asterales,Angiosperms
13,Hirpicium,Compositae,Asteraceae,Asterales,Angiosperms
2,Hirtellina,Compositae,Asteraceae,Asterales,Angiosperms
1,Hispidella,Compositae,Asteraceae,Asterales,Angiosperms
3,Hoehnephytum,Compositae,Asteraceae,Asterales,Angiosperms
1,Hoffmanniella,Compositae,Asteraceae,Asterales,Angiosperms
12,Hofmeisteria,Compositae,Asteraceae,Asterales,Angiosperms
4,Holocarpha,Compositae,Asteraceae,Asterales,Angiosperms
7,Holocheilus,Compositae,Asteraceae,Asterales,Angiosperms
3,Hololeion,Compositae,Asteraceae,Asterales,Angiosperms
2,Hololepis,Compositae,Asteraceae,Asterales,Angiosperms
1,Holoschkuhria,Compositae,Asteraceae,Asterales,Angiosperms
1,Holozonia,Compositae,Asteraceae,Asterales,Angiosperms
2,Homogyne,Compositae,Asteraceae,Asterales,Angiosperms
1,Homoianthus,Compositae,Asteraceae,Asterales,Angiosperms
3,Hoorebekia,Compositae,Asteraceae,Asterales,Angiosperms
1,Hopkirkia,Compositae,Asteraceae,Asterales,Angiosperms
2,Hoplophyllum,Compositae,Asteraceae,Asterales,Angiosperms
1,Huarpea,Compositae,Asteraceae,Asterales,Angiosperms
1,Huberopappus,Compositae,Asteraceae,Asterales,Angiosperms
22,Hubertia,Compositae,Asteraceae,Asterales,Angiosperms
1,Hughesia,Compositae,Asteraceae,Asterales,Angiosperms
1,Hullsia,Compositae,Asteraceae,Asterales,Angiosperms
7,Hulsea,Compositae,Asteraceae,Asterales,Angiosperms
1,Hulteniella,Compositae,Asteraceae,Asterales,Angiosperms
7,Humbertacalia,Compositae,Asteraceae,Asterales,Angiosperms
1,Humeocline,Compositae,Asteraceae,Asterales,Angiosperms
1,Hyalea,Compositae,Asteraceae,Asterales,Angiosperms
2,Hyalis,Compositae,Asteraceae,Asterales,Angiosperms
1,Hyalochaete,Compositae,Asteraceae,Asterales,Angiosperms
1,Hyalochlamys,Compositae,Asteraceae,Asterales,Angiosperms
7,Hyaloseris,Compositae,Asteraceae,Asterales,Angiosperms
9,Hyalosperma,Compositae,Asteraceae,Asterales,Angiosperms
1,Hybridella,Compositae,Asteraceae,Asterales,Angiosperms
1,Hydroidea,Compositae,Asteraceae,Asterales,Angiosperms
3,Hydropectis,Compositae,Asteraceae,Asterales,Angiosperms
1,Hymenocephalus,Compositae,Asteraceae,Asterales,Angiosperms
1,Hymenoclea,Compositae,Asteraceae,Asterales,Angiosperms
7,Hymenolepis,Compositae,Asteraceae,Asterales,Angiosperms
3,Hymenonema,Compositae,Asteraceae,Asterales,Angiosperms
13,Hymenopappus,Compositae,Asteraceae,Asterales,Angiosperms
1,Hymenostemma,Compositae,Asteraceae,Asterales,Angiosperms
8,Hymenostephium,Compositae,Asteraceae,Asterales,Angiosperms
6,Hymenothrix,Compositae,Asteraceae,Asterales,Angiosperms
26,Hymenoxys,Compositae,Asteraceae,Asterales,Angiosperms
11,Hyoseris,Compositae,Asteraceae,Asterales,Angiosperms
2,Hypacanthium,Compositae,Asteraceae,Asterales,Angiosperms
11,Hypericophyllum,Compositae,Asteraceae,Asterales,Angiosperms
85,Hypochaeris,Compositae,Asteraceae,Asterales,Angiosperms
1,Hypochoeris,Compositae,Asteraceae,Asterales,Angiosperms
14,Hysterionica,Compositae,Asteraceae,Asterales,Angiosperms
1,Hystrichophora,Compositae,Asteraceae,Asterales,Angiosperms
1,Ianthopappus,Compositae,Asteraceae,Asterales,Angiosperms
24,Ichthyothere,Compositae,Asteraceae,Asterales,Angiosperms
1,Idiopappus,Compositae,Asteraceae,Asterales,Angiosperms
4,Idiothamnus,Compositae,Asteraceae,Asterales,Angiosperms
16,Ifloga,Compositae,Asteraceae,Asterales,Angiosperms
1,Ignurbia,Compositae,Asteraceae,Asterales,Angiosperms
2,Iltisia,Compositae,Asteraceae,Asterales,Angiosperms
2,Imeria,Compositae,Asteraceae,Asterales,Angiosperms
2,Inezia,Compositae,Asteraceae,Asterales,Angiosperms
1,Inkaliabum,Compositae,Asteraceae,Asterales,Angiosperms
110,Inula,Compositae,Asteraceae,Asterales,Angiosperms
10,Inulanthera,Compositae,Asteraceae,Asterales,Angiosperms
2,Inuleae,Compositae,Asteraceae,Asterales,Angiosperms
1,Inuloides,Compositae,Asteraceae,Asterales,Angiosperms
3,Inulopsis,Compositae,Asteraceae,Asterales,Angiosperms
1,Io,Compositae,Asteraceae,Asterales,Angiosperms
1,Iocenes,Compositae,Asteraceae,Asterales,Angiosperms
1,Iodocephalopsis,Compositae,Asteraceae,Asterales,Angiosperms
1,Iodocephalus,Compositae,Asteraceae,Asterales,Angiosperms
1,Iogeton,Compositae,Asteraceae,Asterales,Angiosperms
5,Ionactis,Compositae,Asteraceae,Asterales,Angiosperms
4,Iostephane,Compositae,Asteraceae,Asterales,Angiosperms
2,Iotasperma,Compositae,Asteraceae,Asterales,Angiosperms
9,Iphiona,Compositae,Asteraceae,Asterales,Angiosperms
1,Iphionopsis,Compositae,Asteraceae,Asterales,Angiosperms
16,Iranecio,Compositae,Asteraceae,Asterales,Angiosperms
